,tips
865,Scleroderma_citrinum
866,Suigr1
867,Suillus_placidus
868,Suillus_luteus
869,Suillus_occidentalis
870,Suillus_brevipes
871,Suillus_cf.
872,Suillus_subalutaceus
873,Suillus_americanus
874,Suillus_subaureus
875,Suillus_cothurnatus
876,Suillus_spraguei
877,Suidec1
878,Suillus_plorans
879,Suihi1
880,Suillus_fuscotomentosus
881,Suillus_tomentosus
882,Suillus_variegatus
883,Suillus_discolor
884,Suillus_bovinus
885,Suillus_lakei
886,Suillus_clintonianus
887,Suillus_ampliporus
888,Suillus_paluster
889,Rhizopogon_vinicolor
890,Rhizopogon_vesiculosus
891,Hygrophoropsis_aurantiaca
892,Leucogyrophana_mollusca
893,Coniophora_puteana
894,Coniophora_olivacea
895,Serpula_lacrymans
896,Serpula_lacrymans
897,Serpula_himantioides
898,Plicaturopsis_crispa
899,Rhodocollybia_butyracea
900,Gymnopus_androsaceus
901,Lentinula_edodes
902,Lentinula_edodes
903,Lentinula_edodes
904,Lentinula_edodes
905,Lentinula_novae-zelandiae
906,Gymnopus_luxurians
907,Omphalotus_olearius
908,Dendrothele_bispora
909,Moniliophthora_perniciosa
910,Moniliophthora_roreri
911,Marfi1
912,Armillaria_cepistipes
913,Armga1
914,Armillaria_nabsnona
915,Armillaria_ostoyae
916,Armost1
917,Armillaria_borealis
918,Armillaria_luteobubalina
919,Armillaria_fumosa
920,Armillaria_novae-zelandiae
921,Armillaria_mellea
922,Armillaria_mellea
923,Armillaria_tabescens
924,Guyanagaster_necrorhizus
925,Oudemansiella_mucida
926,Hymenopellis_radicata
927,Cylindrobasidium_torrendii
928,Auriculariopsis_ampla
929,Schizophyllum_commune
930,Schizophyllum_commune
931,Schizophyllum_commune
932,Fistulina_hepatica
933,Favolaschia_claudopus
934,Mycgal1
935,Coprinopsis_sp.
936,Coprinopsis_cinerea
937,Coprinopsis_cinerea
938,Copmar1
939,Copmic2
940,Coprinellus_angulatus
941,Laccaria_amethystina
942,Laccaria_bicolor
943,Pholiota_molesta
