old_taxonID_linked_genome_sequence,species,genus,family,order,class,phylum
Zymoseptoria_pseudotritici,Zymoseptoria pseudotritici,Zymoseptoria,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Zymoseptoria_tritici,Zymoseptoria tritici,Zymoseptoria,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Postia_placenta,Postia placenta,Postia,Dacryobolaceae,Polyporales,Agaricomycetes,Basidiomycota
Laccaria_bicolor,Laccaria bicolor,Laccaria,Tricholomataceae,Agaricales,Agaricomycetes,Basidiomycota
Rhizopus_delemar,Rhizopus delemar,Rhizopus,Rhizopodaceae,Mucorales,Mucoromycetes,Mucoromycota
Cryptococcus_neoformans,Cryptococcus neoformans,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota
Allomyces_macrogynus,Allomyces macrogynus,Allomyces,Blastocladiaceae,Blastocladiales,Blastocladiomycetes,Blastocladiomycota
Puccinia_triticina,Puccinia triticina,Puccinia,Pucciniaceae,Pucciniales,Pucciniomycetes,Basidiomycota
Malassezia_globosa,Malassezia globosa,Malassezia,Malasseziaceae,Malasseziales,Malasseziomycetes,Basidiomycota
Spizellomyces_punctatus,Spizellomyces punctatus,Spizellomyces,Spizellomycetaceae,Spizellomycetales,Chytridiomycetes,Chytridiomycota
Coprinopsis_cinerea,Coprinopsis cinerea,Coprinopsis,Psathyrellaceae,Agaricales,Agaricomycetes,Basidiomycota
Cryptococcus_gattii_VGI,Cryptococcus gattii VGI,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota
Melampsora_laricipopulina,Melampsora larici-populina,Melampsora,Melampsoraceae,Pucciniales,Pucciniomycetes,Basidiomycota
Serpula_lacrymans,Serpula lacrymans,Serpula,Serpulaceae,Boletales,Agaricomycetes,Basidiomycota
Stereum_hirsutum,Stereum hirsutum,Stereum,Stereaceae,Russulales,Agaricomycetes,Basidiomycota
Punctularia_strigosozonata,Punctularia strigosozonata,Punctularia,Punctulariaceae,Corticiales,Agaricomycetes,Basidiomycota
Auricularia_subglabra,Auricularia subglabra,Auricularia,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Trametes_versicolor,Trametes versicolor,Trametes,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
Fomitiporia_mediterranea,Fomitiporia mediterranea,Fomitiporia,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Coniophora_puteana,Coniophora puteana,Coniophora,Coniophoraceae,Boletales,Agaricomycetes,Basidiomycota
Tremella_mesenterica,Tremella mesenterica,Tremella,Tremellaceae,Tremellales,Tremellomycetes,Basidiomycota
Dichomitus_squalens,Dichomitus squalens,Dichomitus,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
Dacryopinax_primogenitus,Dacryopinax primogenitus,Dacryopinax,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Omphalotus_olearius,Omphalotus olearius,Omphalotus,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota
Trichosporon_asahii,Trichosporon asahii,Trichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota
Phanerochaete_carnosa,Phanerochaete carnosa,Phanerochaete,Phanerochaetaceae,Polyporales,Agaricomycetes,Basidiomycota
Serendipita_indica,Serendipita indica,Serendipita,Serendipitaceae,Sebacinales,Agaricomycetes,Basidiomycota
Heterobasidion_irregulare,Heterobasidion irregulare,Heterobasidion,Bondarzewiaceae,Russulales,Agaricomycetes,Basidiomycota
Gelatoporia_subvermispora,Gelatoporia subvermispora,Gelatoporia,Gelatoporiaceae,Polyporales,Agaricomycetes,Basidiomycota
Ganoderma_lucidum,Ganoderma lucidum,Ganoderma,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
Wolfiporia_cocos,Wolfiporia cocos,Wolfiporia,Laetiporaceae,Polyporales,Agaricomycetes,Basidiomycota
Gloeophyllum_trabeum,Gloeophyllum trabeum,Gloeophyllum,Gloeophyllaceae,Gloeophyllales,Agaricomycetes,Basidiomycota
Volvariella_volvacea,Volvariella volvacea,Volvariella,Pluteaceae,Agaricales,Agaricomycetes,Basidiomycota
Leucoagaricus_gongylophorus,Leucoagaricus gongylophorus,Leucoagaricus,Agaricaceae,Agaricales,Agaricomycetes,Basidiomycota
Pecoramyces_ruminatium,Pecoramyces ruminatium,Pecoramyces,Neocallimastigaceae,Neocallimastigales,Neocallimastigomycetes,Chytridiomycota
Papiliotrema_flavescens,Papiliotrema flavescens,Papiliotrema,Rhynchogastremataceae,Tremellales,Tremellomycetes,Basidiomycota
Kalmanozyma_brasiliensis,Kalmanozyma brasiliensis,Kalmanozyma,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycota
Amanita_jacksonii,Amanita jacksonii,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Basidiomycota
Cronartium_ribicola,Cronartium ribicola,Cronartium,Cronartiaceae,Pucciniales,Pucciniomycetes,Basidiomycota
Mortierella_alpina,Mortierella alpina,Mortierella,Mortierellaceae,Mortierellales,Mortierellomycetes,Mucoromycota
Kwoniella_heveanensis,Kwoniella heveanensis,Kwoniella,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota
Kwoniella_mangrovensis,Kwoniella mangrovensis,Kwoniella,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota
Kwoniella_dejecticola,Kwoniella dejecticola,Kwoniella,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota
Kwoniella_bestiolae,Kwoniella bestiolae,Kwoniella,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota
Kwoniella_pini,Kwoniella pini,Kwoniella,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota
Moesziomyces_aphidis,Moesziomyces aphidis,Moesziomyces,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycota
Umbelopsis_isabellina,Umbelopsis isabellina,Umbelopsis,Umbelopsidaceae,Umbelopsidales,Umbelopsidomycetes,Mucoromycota
Mucor_irregularis,Mucor irregularis,Mucor,Mucoraceae,Mucorales,Mucoromycetes,Mucoromycota
Rhizomucor_miehei,Rhizomucor miehei,Rhizomucor,Lichtheimiaceae,Mucorales,Mucoromycetes,Mucoromycota
